编号,等级,原问题,证据,修正,状态
R01,严重,A/B阶段被等同生产未来,A有250条、B有373条早于训练最早时间代理；A行序相关仅0.084,用时间代理排序的历史回放；声明代理非真实完工时间,已修正验证与论文
R02,严重,同产品跨训练验证边界,原随机CV有42条验证记录同ID已见，时间外推边界4条,同ID或相同输入连通分组，逐边界移除训练侧冲突，保存索引审计,已修复并重跑
R03,严重,全800行提前筛列,全空、常量、重复及时间类型先在全训练文件确定,原始numeric保留到每折，训练内重新识别列类型并学习筛选,已修复并测试
R04,严重,内层网格泄漏,先用整个外层y做特征选择再内层CV,每个内层训练部分从原始字段重建预处理与监督选择,已修复并重跑
R05,严重,已看A答案仍宣称独立验证,历史诊断已读取并比较A答案及多个候选,区分程序未用A拟合与研究历史已看标签；A只报告回顾性结果,已更正文稿与元数据
R06,严重,共形区间覆盖承诺,旧A实际256/300覆盖85.33%；同残差参与选择/校准且交换性未知,冻结模型、分离校准和尾段评价；称经验区间；全量重训仅导出点预测,已修正设计
R07,主要,权重2显著优于1的暗示,"MSE仅差0.00004672，block10探索区间[-0.000749,0.000867]跨0",撤回稳定最优主张；新B默认等权新增标签,已修改默认策略
R08,主要,B基线方法误标,train_only_robust_blend实为当前uniform_xgb预测,旧结果标记误名并说明真实来源，新实验从冻结方法生成基线,已修正文稿与流程
R09,主要,KS统计解释错误,同一数据估参并用普通KS分布算p值，且传感器离散化,保留AIC/KS距离作为描述，不作5%一致性结论,已修复分析解释
R10,主要,重要性与物理流程混淆,设备映射来自列位置，路线邻接来自编号排序，重要性是增益而非因果,明确启发式映射与匿名物理边界，撤回自动工艺放行建议,已修改论文
R11,主要,元数据核实被写成内容核实,部分仅核DOI，未读全文；数字引用不按首次出现排序,按支持度限缩引用、按首次出现编号、保存来源审计,已修正引用
R12,主要,任意组合图表与单次最低分即称创新,分折样本不同、复杂度和数据量同时变化,同一外折比较固定原始视图与完整视图，降低创新强度,已补公平对照
R13,主要,复现资料不足,缺模型状态、缺阶段源码/数据哈希，无A答案时入口崩溃,保存拟合器、模型、特征名、协议、版本与输入哈希；更新入口,已修复
R14,主要,缺失统计分母混淆,原始5952列800条均有缺失，4.484%单元缺失；609条和13.1%来自旧2617列视图,按原始和清理视图分别报告分母、单元缺失率与行缺失率,已审计并修正文稿
